종목명,현재가,대비,대비(%),거래량,L(일봉)H,종목코드,거래량 (G),거래대금(만원) (H),매출액 영업이익률(%) (L),결산기준 (L),매출액 순이익률(%) (M),결산기준 (M),매출액(백만원) (A1),결산기준 (A1),매출액(백만원) (B1),결산기준 (B1),매출액(백만원) (C1),결산기준 (C1)
푸드나무,"25,250",-400,-1.56,"30,750",-1.56,A290720,"30,750","77,580",8.44,Dec-19,6.88,Dec-19,"64,782",Dec-19,"52,960",Dec-18,"34,825",Dec-17
하나제약,"23,350",50,0.21,"39,386",0.21,A293480,"39,386","91,221",20.18,Dec-19,17.01,Dec-19,"166,346",Dec-19,"152,832",Dec-18,"139,331",Dec-17
씨에스베어링,"29,000","-1,300",-4.29,"145,788",-4.29,A297090,"145,788","423,680",10.01,Dec-19,5.94,Dec-19,"102,573",Dec-19,"64,762",Dec-18,"50,364",Dec-17
위지윅스튜디오,"9,270",20,0.22,"1,544,923",0.22,A299900,"1,544,923","1,421,739",14.29,Dec-19,14.03,Dec-19,"46,404",Dec-19,"23,648",Dec-18,"12,989",Dec-17
라온피플,"28,950",-50,-0.17,"260,387",-0.17,A300120,"260,387","738,814",26.66,Dec-19,27.41,Dec-19,"30,770",Dec-19,"21,763",Dec-18,"19,067",Dec-17
이노메트리,"19,100",200,1.06,"45,004",1.06,A302430,"45,004","83,138",16.7,Dec-19,14.51,Dec-19,"31,891",Dec-19,"30,576",Dec-18,"14,062",Dec-17
에스제이그룹,"21,950",250,1.15,"128,945",1.15,A306040,"128,945","276,980",14.95,Dec-19,11.99,Dec-19,"109,494",Dec-19,"68,629",Dec-18,"45,177",Dec-17
까스텔바작,"14,000",-300,-2.1,"37,126",-2.1,A308100,"37,126","51,748",11.09,Dec-19,8.44,Dec-19,"81,358",Dec-19,"92,346",Dec-18,"84,152",Dec-17
에이에프더블류,"10,650",50,0.47,"253,095",0.47,A312610,"253,095","262,028",27.88,Dec-19,21.57,Dec-19,"25,961",Dec-19,"30,329",Dec-18,"20,500",Dec-17
덕산테코피아,"18,300",-300,-1.61,"151,103",-1.61,A317330,"151,103","272,440",21.72,Dec-19,18,Dec-19,"61,838",Dec-19,"70,930",Dec-18,"79,839",Dec-17
